INDEX,CONTENT,COMMENT,RATING,REMARK
1,Прогнозирование скорости движения автомобильного потока с использованием интеллектуального анализа данных,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
2,Сравнительный анализ методов восстановления пропущенных значений в наборе данных,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
3,Разработка инструмента объединения и интеграции статических анализаторов кода для языка C++,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
4,Применение методов экстракции данных на основе машинного обучения для построения цифрового резюме и интеграции корпоративных приложений,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
5,Применение алгоритмов машинного обучения для обнаружения и классификации дефектных зон на видеоизображениях внутренней поверхности графитовых блоков,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
6,Изучение влияния параметров инициализации весов на качество обучения нейронных сетей прямого распространения,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
7,Разработка методики семантического анализа отзывов на платформе Steam,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"1. Есть нарушения в оформлении работы, не представленная структура реальной базы данных, на диаграмме развертывания системы компоненты программной системы отображены с нарушением нотации UML, на диаграме отсутствует конкретика по выбору ПО."
8,Разработка методики оценки вероятности поступления в ЛЭТИ с учетом приоритезации выбора,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
9,Локализация сигнала в задаче интерпретации результатов множества статистических тестов,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"1. Есть нарушения в оформлении работы, не представленная структура реальной базы данных, на диаграмме развертывания системы компоненты программной системы отображены с нарушением нотации UML, на диаграме отсутствует конкретика по выбору ПО."
10,Разработка программной платформы передачи данных на основе технологии Time Sensitive Networking,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"1. Есть нарушения в оформлении работы, не представленная структура реальной базы данных, на диаграмме развертывания системы компоненты программной системы отображены с нарушением нотации UML, на диаграме отсутствует конкретика по выбору ПО."
11,"Анализ метода обучения, подкрепляемого любопытством, в задачах поиска пути","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
12,Разработка подхода к предсказыванию дорожной конфигурации на платформе одноплатного компьютера,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
13,Разработка сервиса для обработки данных от системы прокторинг,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
14,Разработка алгоритма построения модели предсказания для рекомендательной системы,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
15,Разработка и программная реализация методов аппроксимации данных с помощью кривых Безье,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"1. Есть нарушения в оформлении работы, не представленная структура реальной базы данных, на диаграмме развертывания системы компоненты программной системы отображены с нарушением нотации UML, на диаграме отсутствует конкретика по выбору ПО."
16,Создание приложения искусственного интеллекта для решения судоку с использованием генетического алгоритма,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
17,"Исследование и обобщение теоремы о количестве признаков, адаптируемых к кодирующему гену","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
18,Разработка алгоритма изменения голоса на основе сверточных нейронных сетей,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
19,Разработка алгоритма формирования цифровой модели путевого развития железнодорожной сети по результатам позиционирования подвижного состава,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
20,Распознавание объектов интереса по данным аэрофотосъемки,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"1. Есть нарушения в оформлении работы, не представленная структура реальной базы данных, на диаграмме развертывания системы компоненты программной системы отображены с нарушением нотации UML, на диаграме отсутствует конкретика по выбору ПО."
21,Сравнение методов обучения и архитектур рекуррентных нейронных сетей в задаче прогнозирования,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
22,Разработка алгоритма решения проблемы покрытия множества,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"1. Есть нарушения в оформлении работы, не представленная структура реальной базы данных, на диаграмме развертывания системы компоненты программной системы отображены с нарушением нотации UML, на диаграме отсутствует конкретика по выбору ПО."
23,Разработка методики классификации веб-страниц на основе элементов HTML-кода,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
24,Разработка алгоритма фильтрации спама gmail,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной",Оценка «отлично».,Замечаний по работе нет.
25,Разработка алгоритма предварительной группировки данных,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
26,Исследование и разработка алгоритмов восстановления пропущенных значений в больших массивах данных,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо»,Замечания по работе: 1. Не достаточно полно проработана масштабируемость системы. 2. Не совсем логично выполнен интерфейс.
