INDEX,CONTENT,COMMENT,RATING,REMARK
1,"BKP посвящена проектированию и разработке автоматизированной системы подачи 
и регистрации заявок о неисправностях средств вычислительной техники в Федеральном
Бюджетном Учреждении Здравоохранения «Центр гигиены и эпидемиологии в Свердловской 
области в Орджоникидзевском, Железнодорожном районах г. Екатеринfiурга, в г. Березовский 
и в г. Верхняя Пышма». BKP состоит из введения, трех глав, заключения и списка литературы.","Проект соответствует современным стандартам и тенденциям перехода 
к безбумажным информационным технологиям. Дальнейшее развитие 
проекта (строгий учет и статистическая обработка заявок и результатов 
их исполнения) позволит проводить дополнительные исследования в
области надежности аппаратных компьютерных средств с целью выбора
более отказоустойчивой техники при модернизации компьютерного парка.",Рекомендуемая оценка «Отлично».,"Замечания по работе:
1.В текущей редакции отсутствует оперативное оповещение 
администраторов предприятия о поступившей заявке
(с помощью SMS- или email сообщения)."
2,"BKP посвящена проектированию и разработке сайта, предназначенного для организации 
финансового взаимодействия между подписчиками проекта и партнерами проскта «Асприйка» 
(тематической группы форума ВКонтакте, состоящей из нескольких тысяч участников). BKP 
состоит из введения, трех глав, заключения и списка литературы.","Проект соответствует самым современным и быстроразвивающимся тенденциям и информационным 
Интернет- технологиям, выполнен с использованием современных языков и средств программирования. 
Дальнейшее развитие сайта и привлечение партнером из различных 
регионов страны позволит создать глобальный проект общероссийского уровня, предназначенный 
для снижения материальных и моральных потерь огромного числа пользоватлей.",Рекомендуемая оценка — «Отлично».,"Замечания по работе:
1. Недостаточно освещены механизмы предполагаемого 
расширения круга потенциальных партнеров (реклама, 
убедительное обоснование выгоды от сотрудничества), а 
также oтcутствует оценка уровня возможных затрат на 
«монетизацию» пpoeктa."
3,"Дипломный проект студента посвящен решению актуальной разработки агрегатора 
информационно-медийного портала. Автором проведен аналитический обзор. Выполнена постановка задачи.
Выполнен системный анализ объекта управления. Выявлены функциональные требования к системе. 
Требования к системе со стороны пользователей представлены в виде диаграммы вариантов использования. 
Спроектирована база данных. Разработана АИС. Определены средства разработки и требования 
к программно-аппаратной части. Разработано руководство пользователя.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «ОТЛИЧНО».,Замечаний нет.
4,"Выпускная квалификационная работа посвящена решению актуальной задачи автоматизации управления
общепита. Дата характеристика проблемной ситуации. Выполнен аналитический обзор проблемной ситуации.
Проведен системный анализ. Требования представлены в виде модели FURPS+. Спроектирована 
инфологическая модель.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «Удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО, рабочите станции не отображены на диаграме 
развертывания UML при этом целевая аппаратная платформа 
для приложений под Android это мобильный сматрфон, а не ПК."
5,"Выпускная квалификационная работа посвящена проектированию и созданию системы контроля и 
управления доступом в учебном заведении. Цель выпускной квалификационной работы заключается в 
разработке программного обеспечения СКУД находящегося на стыке функционала умного дома для
учебного заведения.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Существенных замечаний по работе нет.
6,"Выпускная квалификационная работа посвящена исследованию, проектированию и разработке графического
редактора для заказа индивидуального нанесения на одежду. В процессе работы охарактеризован объект 
автоматизации, проведен анализ существующих решений, сформулированы задачи для разработки. Также 
выполнен системный анализ объекта управления. В него входит построение информационно-логической 
модели, функциональной модели, диаграммы прецедентов и формирование требований к проектируемой 
системе. И представлены средства реализации, интерфейс системы, руководства пользователя 
и программиста.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
7,"Выпускная квалификационная работа посвящена проблеме мониторинга локальных сетей. Целью 
выпускной квалификационной работы является разработка системы мониторинга локальной сети. В работе 
выполнено исследование проблем, связанных с мониторингом, и проведен аналитический обзор 
существующих решений. На основе сделанных выводов были сформированы требования к новой системе.
В результате был спроектирован и реализован прототип системы мониторинга локальной сети.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Существенных замечаний по работе нет.
8,"Дипломная работа посвящена исследованию сервиса каршеринга. Целью выпускной квалификационной 
работы является проектирование и создание информационной системы, которая необходима 
для управления каршерингом. В работе выполнено исследование предметной области системы каршеринга, 
построена функциональная модель системы, дано техническое обоснование разработки и 
сформулированы требования к системе. Спроектировано, разработано и представлено программное 
обеспечение, представляющее собой полнофункциональную информационную систему.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
9,"Предмет исследования – проектирование и разработка информационной системы для повышения 
эффективности работы администратора ресторана. В работе рассмотрена деятельность администратора 
ресторана; сформулированы требования к ИС; разработано ТЗ на создание ИС; разработан технический 
проект ИС; выбраны технологии программирования и реализации ИС. Спроектировано, разработано и 
представлено программное обеспечение, представляющее собой прототип информационной системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,"Замечания по работе:
1. Разработанная информационная система не отвечает всем 
требованиям, сформулированным в работе.
2. Имеются недочеты по оформлению работы."
10,"Выпускная квалификационная работа посвящена актуальной проблеме разработке автоматизированной
системы усправления процессом очистки сточных вод по оригинальной технологии. Автором выполнен
аналитический обзор имеющихся решений. Сформулированы требования к проектируемой системе.
Выполнен системный анализ обьекта управления. Разработано информационное и программное обеспечение.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Рекомендуемая оценка «отлично».,Замечаний по работе нет.
